250207,大阪府,堺市美原区,みはら,2006年04月01日,美原町が堺市に合併、同時に堺市の政令指定都市移行で美原区へ,◆2005年12月21日
3911,高知県,香南市,こうなん,2006年03月01日,香美郡赤岡町、香我美町、野市町、夜須町、吉川村の４町１村が合併,2005年11月11日
3912,高知県,香美市,かみ,2006年03月01日,香美郡土佐山田町、香北町、物部村の全２町１村が合併（※同郡赤岡町、香我美町、野市町、夜須町、吉川村の４町１村が同日合併で香南市へ）,2005年11月11日
39003,高知県,香美郡,かみ,2006年02月28日,香南市と香美市へ,2005年11月11日
4109,佐賀県,嬉野市,うれしの,2006年01月01日,藤津郡塩田町、嬉野町の２町が、合併,2005年11月04日
4110,佐賀県,神埼市,かんざき,2006年03月20日,神埼郡神埼町、千代田町、脊振村の２町１村が合併,2005年11月04日
1714,山梨県,中央市,ちゅうおう,2006年02月20日,中巨摩郡玉穂町、田富町の２町と、東八代郡豊富村の１村が合併,2005年10月05日
4415,大分県,国東市,くにさき,2006年03月31日,東国東郡国見町、国東町、武蔵町、安岐町の４町が合併,2005年09月09日
29004,福井県,大野郡,おおの,2005年11月06日,大野市に編入,2005年08月29日
29001,福井県,足羽郡,あすわ,2006年01月30日,合併して福井市へ,2005年08月29日
29005,福井県,遠敷郡,おにゅう,2006年03月02日,遠敷郡名田庄村の全１村と、大飯郡大飯町の１町が合併し、あらたに、おおい町を設置後、大飯郡に編入。,2005年08月29日
2910,福井県,坂井市,さかい,2006年03月20日,坂井郡三国町、丸岡町、春江町、坂井町の全４町が合併,2005年08月29日
29006,福井県,坂井郡,さかい,2006年03月19日,坂井市へ,2005年08月29日
3608,香川県,三豊市,みとよ,2006年01月01日,三豊郡高瀬町、山本町、三野町、豊中町、詫間町、仁尾町、財田町の全７町が合併,2005年08月29日
36007,香川県,三豊郡,みとよ,2005年12月31日,三豊市へ,2005年08月29日
1345,埼玉県,ふじみ野市,ふじみの,2005年10月01日,上福岡市と、入間郡大井町の１町が合併,2005年08月24日
1335,埼玉県,上福岡市,かみふくおか,2005年09月30日,合併してふじみ野市へ,2005年08月24日
1713,山梨県,甲州市,こうしゅう,2005年11月01日,塩山市、東山梨郡勝沼町、大和村の全１町１村が合併,2005年08月24日
1703,山梨県,塩山市,えんざん,2005年10月31日,合併して甲州市へ,2005年08月24日
17006,山梨県,東山梨郡,ひがしやまなし,2005年10月31日,合併して甲州市へ,2005年08月24日
2036,愛知県,北名古屋市,きたなごや,2006年03月20日,西春日井郡師勝町、西春町の２町が合併,2005年08月24日
20017,愛知県,南設楽郡,みなみしたら,2005年09月30日,新城市に編入,2005年08月24日
01004,北海道,厚田郡,あつた,2005年09月30日,石狩市に編入,2005年08月19日
01057,北海道,浜益郡,はまます,2005年09月30日,石狩市に編入,2005年08月19日
01079,北海道,二海郡,ふたみ,2005年10月01日,爾志郡熊石町の１町と、山越郡八雲町の１町が合併し、新たに設置される八雲町の区域をもって、二海郡とする。,2005年08月19日
0136,北海道,北斗市,ほくと,2006年02月01日,上磯郡上磯町の１町と、亀田郡大野町の１町が合併。,2005年08月19日
01080,北海道,日高郡,ひだか,2006年03月31日,静内郡静内町の全１町と三石郡三石町の全１町が合併し、新たに設置される新ひだか町の区域をもって、日高郡とする,2005年08月19日
01032,北海道,静内郡,しずない,2006年03月30日,合併して日高郡へ,2005年08月19日
01068,北海道,三石郡,みついし,2006年03月30日,合併して日高郡へ,2005年08月19日
0828,新潟県,胎内市,たいない,2005年09月01日,北蒲原郡中条町、黒川村の１町１村が合併,2005年08月16日
